지역,카테고리,식당이름,구글맵 검색 링크 (작동함),평점,예산,영업시간 (검증됨),휴무일 (검증됨),결제수단,비고 (핵심 꿀팁),웨이팅 예상 시간 (추정),lat,lng
텐진,스시,스시로 텐진점 (효탄스시 대안),https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EC%98%A4%EC%95%BC%ED%9B%84%EC%BD%94%29%20%EC%8A%A4%EC%8B%9C%EB%A1%9C%20%ED%85%90%EC%A7%84%EC%A0%90%20%28%ED%9A%A8%ED%83%84%EC%8A%A4%EC%8B%9C%20%EB%8C%80%EC%95%88%29,3.9,"1,500 ~",11:00~23:00,연중무휴,카드OK,웨이팅 싫다면 최고의 선택,앱 예약 시 즉시 입장,,
텐진,일본가정식,왓파 테이쇼쿠도코로 (우오츄 대안),https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%20%EC%99%93%ED%8C%8C%20%ED%85%8C%EC%9D%B4%EC%87%BC%EC%BF%A0%EB%8F%84%EC%BD%94%EB%A1%9C%20%28%EC%9A%B0%EC%98%A4%EC%B8%84%20%EB%8C%80%EC%95%88%29,4.1,"1,500엔~",11:30-21:00,연중무휴,카드OK,"깔끔한 정식, 실패 없음",대기 거의 없음,,
텐진,베이커리,더 시티 베이커리 (인기 카페 대안),https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%20%EB%8D%94%20%EC%8B%9C%ED%8B%B0%20%EB%B2%A0%EC%9D%B4%EC%BB%A4%EB%A6%AC%20%28%EC%9D%B8%EA%B8%B0%20%EC%B9%B4%ED%8E%98%20%EB%8C%80%EC%95%88%29,4.2,"1,000 ~",08:30-22:00,연중무휴,카드OK,좌석 많고 빵 맛있음,대기 적음,,
텐진(다이묘),튀김정식,튀김 히라오 다이묘점,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%ED%8A%80%EA%B9%80%20%ED%9E%88%EB%9D%BC%EC%98%A4%20%EB%8B%A4%EC%9D%B4%EB%AC%98%EC%A0%90,4.3,"1,200엔~",10:30-21:00,연중무휴,현금(자판기),"[현금필수] 갓 튀긴 튀김, 오징어젓갈 무한리필",식사 시간대 30분 이상 대기 (회전 빠름),,
텐진(다이묘),덮밥,레드락 (Red Rock),https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EB%A0%88%EB%93%9C%EB%9D%BD%20%28Red%20Rock%29,4.0,"1,500엔~",11:30-21:30,연중무휴,현금/카드,"로스트비프 덮밥, 키오스크 주문",점심 피크 15-30분 대기,,
텐진(다이묘),스테이크,니쿠젠 다이묘점,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EB%8B%88%EC%BF%A0%EC%A0%A0%20%EB%8B%A4%EC%9D%B4%EB%AC%98%EC%A0%90,4.4,"4,000엔~",17:00-23:00,화요일,카드OK,"점심 영업 중단됨, 저녁 야키니쿠 추천",예약 필수,,
텐진(다이묘),디저트,카페델솔,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EC%B9%B4%ED%8E%98%EB%8D%B8%EC%86%94,4.3,"1,500엔~",11:00-19:00,연중무휴,카드OK,수플레 팬케이크 원조,오후 2-4시 대기 30분 이상,,
텐진(다이묘),디저트,아이보리쉬,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EC%95%84%EC%9D%B4%EB%B3%B4%EB%A6%AC%EC%89%AC,4.1,"1,800엔~",10:00-18:00,화요일,카드OK,프렌치토스트 전문점,주말 대기 있음,,
텐진(다이묘),디저트,다이묘 소프트크림,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EB%8B%A4%EC%9D%B4%EB%AC%98%20%EC%86%8C%ED%94%84%ED%8A%B8%ED%81%AC%EB%A6%BC,4.3,500엔~,11:00~22:00,연중무휴,카드OK,진한 우유 아이스크림,테이크아웃이라 대기 없음,,
텐진(다이묘),디저트,KAKA 치즈케이크,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20KAKA%20%EC%B9%98%EC%A6%88%EC%BC%80%EC%9D%B4%ED%81%AC,4.1,500엔~,10:00-21:00,연중무휴,카드OK,치즈케이크 전문,"품절 빠름, 일찍 방문 권장",,
텐진(다이묘),디저트,링고도우,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EB%A7%81%EA%B3%A0%EB%8F%84%EC%9A%B0,4.2,600엔~,11:00~21:00,연중무휴,현금/카드,통사과 탕후루,대기 없음,,
텐진(다이묘),규카츠,모토무라 규카츠 텐진,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EB%AA%A8%ED%86%A0%EB%AC%B4%EB%9D%BC%20%EA%B7%9C%EC%B9%B4%EC%B8%A0%20%ED%85%90%EC%A7%84,4.8,"2,000엔~",11:00~22:00,연중무휴,카드OK,다이묘점보다 대기 적을 수 있음,30분~1시간 (다이묘점보다 나음),33.5866,130.3993
텐진(다이묘),규카츠,교토 가츠규 텐진점,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EA%B5%90%ED%86%A0%20%EA%B0%80%EC%B8%A0%EA%B7%9C%20%ED%85%90%EC%A7%84%EC%A0%90,4.6,"1,800엔",11:00-21:30,연중무휴,카드OK,수란 소스 추천,대기 거의 없음,,
텐진(다이묘),함바그,규마루,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EA%B7%9C%EB%A7%88%EB%A3%A8,4.2,"1,500엔~",11:00~21:30,연중무휴,카드OK,스프가 맛있는 함바그,15-20분 정도 대기,,
텐진(다이묘),일식,치카에 (Chikae),https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EC%B9%98%EC%B9%B4%EC%97%90%20%28Chikae%29,4.2,"3,500엔~",11:30~14:00(주말만),부정기,카드OK,"평일 점심 영업 X, 주말만 런치 가능",주말 런치 오픈런 필수,,
텐진(다이묘),함바그,규마루 (키와미야 함바그 대안),https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%EB%B0%98%EC%A7%84%28%EB%8B%A4%EC%9D%B4%EB%AC%98%29%20%EA%B7%9C%EB%A7%88%EB%A3%A8%20%28%ED%82%A4%EC%99%80%EB%AF%B8%EC%95%BC%20%ED%95%A8%EB%B0%94%EA%B7%B8%20%EB%8C%80%EC%95%88%29,4.2,"1,500엔~",11:00~21:30,연중무휴,카드OK,"스프가 맛있는 함바그, 쾌적함",15-30분 (키와미야 대비 훨씬 짧음),33.5898,130.4203
텐진(다이묘),규카츠,교토 가츠규 텐진정 (모토무라 규카츠 대안),https://www.google.com/maps/search/?api=1&query=이치란+본점+후쿠오카2,4.6,"1,800엔",11:00-21:30,연중무휴,카드OK,"수란 소스 추천, 대기 적음",15-30분 (모토무라 대비 적음),33.5866,130.3993
텐진(본점),라멘,신신라멘 텐진 본점,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EB%B3%B8%EC%A0%90%29%20%EC%8B%A0%EC%8B%A0%EB%9D%BC%EB%A9%98%20%ED%85%90%EC%A7%84%20%EB%B3%B8%EC%A0%90,4.2,900엔~,11:00~03:00,수요일,카드OK,"웨이팅 긺, 회전은 빠름",식사 시간 30분~1시간,33.5944,130.3995
텐진(솔라리아),철판구이,텐진 호르몬,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EC%86%94%EB%9D%BC%EB%A6%AC%EC%95%84%29%20%ED%85%90%EC%A7%84%20%ED%98%B8%EB%A5%B4%EB%AA%AC,4.1,"2,000엔~",11:00~22:00,연중무휴,카드OK,대창 믹스 정식 추천,20-30분 대기,,
텐진(솔라리아),스시,효탄스시(회전초밥),https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EC%86%94%EB%9D%BC%EB%A6%AC%EC%95%84%29%20%ED%9A%A8%ED%83%84%EC%8A%A4%EC%8B%9C%28%ED%9A%8C%EC%A0%84%EC%B4%88%EB%B0%A5%29,4.1,"2,500엔~",11:00~21:00,연중무휴,카드OK,본점보다 캐주얼함,30분~1시간,,
텐진(아카사카),모츠나베,모츠나베 이마나카,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EC%95%84%EC%B9%B4%EC%82%AC%EC%B9%B4%29%20%EB%AA%A8%EC%B8%A0%EB%82%98%EB%B2%A0%20%EC%9D%B4%EB%A7%88%EB%82%98%EC%B9%B4,4.4,"5,000엔~",16:00-23:00,화요일,카드OK,"노키즈존, 고급스러운 분위기",예약 필수,,
텐진(오야후코),스시,스시로 텐진점,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EC%98%A4%EC%95%BC%ED%9B%84%EC%BD%94%29%20%EC%8A%A4%EC%8B%9C%EB%A1%9C%20%ED%85%90%EC%A7%84%EC%A0%90,3.9,"1,500 ~",11:00~23:00,연중무휴,카드OK,가성비 회전초밥,앱 예약 시 대기 없음,,
텐진(오야후코),스테이크,얏파리 스테이크,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EC%98%A4%EC%95%BC%ED%9B%84%EC%BD%94%29%20%EC%96%8F%ED%8C%8C%EB%A6%AC%20%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%81%AC,4.1,"1,000엔~",11:00~22:00,연중무휴,현금(자판기),"가성비 갑, 현금 준비",대기 적음,,
텐진(지하상가),스시,스시 쇼군,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%EC%A7%80%ED%95%98%EC%83%81%EA%B0%80%29%20%EC%8A%A4%EC%8B%9C%20%EC%87%BC%EA%B5%B0,4.0,"1,000엔~",11:00~22:00,연중무휴,카드OK,서서 먹는 스시,회전율 매우 빠름 (대기 없음),,
텐진(파르코),모츠나베,오오야마 파르코,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%ED%8C%8C%EB%A5%B4%EC%BD%94%29%20%EC%98%A4%EC%98%A4%EC%95%BC%EB%A7%88%20%ED%8C%8C%EB%A5%B4%EC%BD%94,4.2,"2,000 -",11:00~23:00,시설휴무일,카드OK,1인 모츠나베 가능,점심 피크 20분 대기,,
텐진(파르코),함바그,키와미야 함바그,https://www.google.com/maps/search/?api=1&query=%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%20%ED%85%90%EC%A7%84%28%ED%8C%8C%EB%A5%B4%EC%BD%94%29%20%ED%82%A4%EC%99%80%EB%AF%B8%EC%95%BC%20%ED%95%A8%EB%B0%94%EA%B7%B8,4.4,"2,000 ~",11:00-22:00,시설휴무일,현금/카드,웨이팅 극악,기본 1시간 30분~2시간 (극악),33.5898,130.4203
